"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",0.98925,1,1,0.99925,0.99925,1,0.99975,1,1,0.87925,0.99575,0.8685,0.92325,0.9035,0.80225,0.93975,0.99975,0.99925,0.9975,0.993,0.997,0.7315,1,0.9565,1,0.895,1,1,0.84425,0.999,0.9405,0.99825,0.9725,0.967,1,0.99975,0.73525,1,0.999,0.90125,0.999,0.98475,1,0.7865,1,1,0.977,0.803,0.8205,0.9915,0.99525,0.9995,1,0.99675,0.9505,1,0.835,0.98025,0.9875,0.99975,0.99375,0.89625,0.845,0.84575,0.98825,0.9925,0.7665,0.99725,0.78725,0.84275,0.9485,1,0.9925,1,0.98875,0.99825,0.99575,0.9915,0.968,0.99575,0.6915,0.979,0.9995,1,0.98475,0.995,0.99525,0.99625,0.99625,0.96925,0.9915,0.999,0.97275,0.97075,0.99775,0.896,0.909,0.98075,0.9955,0.903,0.99975
"2",0.989,1,1,1,0.99775,1,1,1,1,0.87075,0.997,0.87225,0.9225,0.90225,0.80575,0.94025,1,0.99975,0.99525,0.99175,0.9965,0.71725,1,0.95175,1,0.88325,0.99975,1,0.839,0.99975,0.93175,0.997,0.9665,0.971,1,1,0.73375,1,0.99825,0.903,0.99925,0.9865,1,0.7875,1,1,0.972,0.79125,0.82025,0.98875,0.99525,0.9995,1,0.9975,0.94275,1,0.8225,0.977,0.98,0.99925,0.991,0.899,0.84075,0.8455,0.99025,0.994,0.7735,0.99125,0.795,0.84875,0.94425,0.99975,0.99075,1,0.98,0.99825,0.99625,0.99375,0.96475,0.997,0.68325,0.98325,0.999,1,0.988,0.99375,0.99475,0.99425,0.995,0.966,0.99075,0.999,0.979,0.96575,0.999,0.9085,0.90175,0.97725,0.99425,0.88825,0.99875
"3",0.98475,1,1,1,0.998,1,0.99975,0.999,1,0.861,0.9955,0.8605,0.923,0.89725,0.80025,0.9395,1,0.99925,0.9975,0.995,0.9965,0.72025,1,0.95675,1,0.88675,0.9995,0.99875,0.84225,1,0.92925,0.99675,0.975,0.9615,1,0.99975,0.72125,1,0.99875,0.90275,0.99975,0.98875,1,0.788,1,0.99925,0.97625,0.78575,0.81675,0.98775,0.99425,0.99975,1,0.998,0.94625,1,0.8185,0.97425,0.97925,0.99825,0.98925,0.8905,0.84375,0.845,0.99275,0.9935,0.765,0.99475,0.792,0.84325,0.95125,1,0.99,1,0.98175,0.99725,0.9965,0.9925,0.96075,0.995,0.6795,0.97825,0.9995,1,0.984,0.9955,0.996,0.9965,0.99475,0.9765,0.9915,0.99975,0.97625,0.96475,0.9985,0.8805,0.8995,0.986,0.995,0.89625,0.99875
"4",0.9845,0.99975,1,1,0.99725,1,1,0.99925,1,0.85875,0.9935,0.86225,0.91775,0.89425,0.7855,0.93075,0.99975,0.99875,0.997,0.99075,0.99725,0.713,1,0.94625,1,0.89175,1,0.9995,0.84925,0.99925,0.94,0.99725,0.9685,0.965,1,0.99975,0.722,1,0.998,0.899,0.99975,0.9815,1,0.795,1,0.99975,0.9675,0.79075,0.8115,0.98725,0.9975,1,1,0.99875,0.93825,1,0.818,0.97175,0.977,0.99775,0.993,0.89075,0.83725,0.846,0.99025,0.99175,0.76225,0.995,0.78975,0.84625,0.9465,1,0.99,1,0.98175,0.999,0.995,0.98825,0.95375,0.996,0.68025,0.97675,0.99875,1,0.984,0.99525,0.997,0.996,0.99225,0.97175,0.9905,0.99925,0.9785,0.96625,0.9985,0.87575,0.893,0.98075,0.99,0.88,0.99825
"5",0.9905,0.99975,1,1,0.9965,1,0.99925,0.99925,1,0.88125,0.99475,0.85775,0.92225,0.88275,0.8045,0.93275,0.99975,0.99875,0.99575,0.98975,0.9965,0.709,1,0.94725,1,0.89025,0.9995,0.9995,0.83125,0.999,0.93775,0.996,0.969,0.96375,1,0.99925,0.7255,1,0.99875,0.908,0.99875,0.98325,1,0.76775,1,0.999,0.96775,0.7845,0.816,0.98375,0.99525,0.99975,1,0.99825,0.94325,1,0.81225,0.96775,0.9745,0.99875,0.9895,0.88075,0.82475,0.8425,0.98975,0.99025,0.7645,0.99325,0.7845,0.852,0.94475,1,0.9895,1,0.98575,0.9975,0.9975,0.9905,0.95475,0.99425,0.66625,0.97625,0.9985,1,0.98375,0.9935,0.995,0.9965,0.9935,0.9685,0.98675,0.999,0.9715,0.96375,0.99825,0.87625,0.88725,0.98075,0.992,0.8815,0.99875
"6",0.98425,1,1,0.9995,0.99325,1,1,1,1,0.87675,0.99025,0.86625,0.916,0.88475,0.7855,0.9355,0.99975,0.99875,0.996,0.98775,0.99625,0.71175,1,0.94925,0.99975,0.8845,1,0.99975,0.8395,0.9985,0.925,0.997,0.96425,0.959,1,0.99975,0.72025,1,0.99775,0.8945,0.99975,0.9825,1,0.79225,1,0.99975,0.9655,0.7965,0.81525,0.981,0.99125,0.999,1,0.9965,0.94225,1,0.78575,0.9665,0.976,0.99825,0.989,0.894,0.8215,0.826,0.98925,0.988,0.7575,0.994,0.77225,0.8405,0.9455,1,0.991,1,0.9815,0.999,0.99625,0.994,0.95425,0.9955,0.6765,0.97375,1,1,0.9825,0.992,0.99425,0.99475,0.9955,0.9735,0.98775,1,0.975,0.9545,0.99725,0.86225,0.894,0.98575,0.9925,0.8895,0.999
"7",0.9845,1,1,0.9995,0.9945,1,1,0.9995,1,0.859,0.99525,0.8705,0.915,0.886,0.7865,0.92675,0.99975,0.99925,0.996,0.9915,0.99625,0.71,1,0.9455,1,0.8865,1,0.9995,0.8515,0.999,0.9355,0.99775,0.971,0.95725,1,0.99975,0.73325,1,0.998,0.894,0.999,0.98125,1,0.7875,1,0.9995,0.97,0.7875,0.82725,0.97675,0.99375,0.9995,1,0.997,0.9235,1,0.80425,0.95575,0.97375,0.9995,0.992,0.89,0.809,0.8275,0.988,0.98575,0.7585,0.99325,0.7755,0.84875,0.93575,0.99975,0.98475,1,0.9795,0.99875,0.99575,0.99125,0.94725,0.9945,0.68975,0.97,0.999,1,0.982,0.99525,0.995,0.99625,0.993,0.96475,0.987,0.99825,0.978,0.958,0.99825,0.86225,0.88675,0.97925,0.99125,0.89125,0.99825
"8",0.98375,0.99975,1,0.9995,0.993,1,1,0.99825,1,0.85175,0.9935,0.8545,0.92225,0.8885,0.79,0.94075,0.9995,0.99825,0.99575,0.9885,0.997,0.70425,1,0.9385,0.99975,0.86725,1,1,0.844,0.99825,0.92775,0.99875,0.9685,0.9605,1,0.9995,0.70075,1,0.9965,0.9,0.99975,0.9835,1,0.76025,0.9995,0.99925,0.971,0.7705,0.79825,0.97775,0.99375,0.99925,1,0.998,0.92925,1,0.78475,0.94725,0.9685,0.9995,0.98775,0.8815,0.8225,0.81775,0.99225,0.98525,0.755,0.99475,0.76525,0.847,0.94075,1,0.99025,1,0.9775,0.997,0.99675,0.99275,0.943,0.99675,0.6775,0.97225,0.9975,1,0.9815,0.996,0.993,0.99425,0.99375,0.961,0.98875,0.99875,0.9745,0.95625,0.9985,0.844,0.879,0.98,0.988,0.88675,0.99675
"9",0.98925,1,1,1,0.992,1,0.9995,0.99825,1,0.84525,0.99075,0.85975,0.9125,0.883,0.80175,0.92475,0.99975,0.99925,0.99525,0.98675,0.99575,0.681,1,0.9385,1,0.87625,1,0.9995,0.83425,0.99875,0.9315,0.999,0.9635,0.95125,1,1,0.726,1,0.99725,0.89475,1,0.9795,1,0.7645,1,0.99925,0.967,0.786,0.80775,0.974,0.9925,0.99875,1,0.99775,0.927,1,0.7755,0.955,0.9635,0.99725,0.98175,0.88075,0.828,0.82025,0.987,0.9875,0.734,0.99375,0.7835,0.8525,0.928,0.9995,0.98925,1,0.978,0.99875,0.99825,0.9895,0.9395,0.99475,0.66,0.9675,0.99875,1,0.9745,0.99225,0.9955,0.996,0.99125,0.96,0.98625,0.998,0.96825,0.9525,0.997,0.8365,0.88475,0.979,0.986,0.86975,0.9965
"10",0.97775,0.99975,1,0.99875,0.98875,1,0.999,0.99675,0.9995,0.84075,0.99075,0.84,0.9155,0.88275,0.79175,0.9365,0.99925,0.99725,0.99375,0.988,0.99425,0.70775,1,0.937,1,0.87525,1,1,0.853,0.9985,0.93275,0.99775,0.967,0.9495,1,0.99975,0.69725,1,0.9965,0.90275,1,0.98325,1,0.76475,1,0.999,0.9625,0.77525,0.8075,0.96825,0.98925,0.9985,1,0.9975,0.928,1,0.75425,0.9435,0.9595,0.9985,0.983,0.8785,0.818,0.81025,0.99125,0.98675,0.72225,0.99175,0.7745,0.85475,0.91975,1,0.9855,1,0.98075,0.99675,0.99275,0.98675,0.9295,0.99525,0.6665,0.97175,0.9985,1,0.974,0.99175,0.995,0.99525,0.9935,0.9625,0.9825,0.99725,0.975,0.95175,0.99925,0.8195,0.8815,0.98225,0.9835,0.86275,0.9965
