"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",0.98925,0.9995,0.31325,0.08675,0.45525,0.073,1,0.9935,0.88425,0.97575,0.041,0.9995,0.04425,0.2655,0.9975,0.988,0.99375,0.99925,0.99975,0.21275,0.99975,0.99875,0.9635,0.3825,0.99925,0.99775,0.99975,0.0025,0.98375,1,0.41925,1,0.074,0.92575,0.9845,0.9995,0.99175,0.996,1,0.03675,0.9995,0.99975,0.1695,0.65525,0.294,0.22425,0.46575,0.89425,0.9905,1,0.92775,0.94025,0.98975,0.4505,0.82375,0.998,0.30925,0.068,0.38175,0.99625,0.98775,0.03325,0.98575,0.3795,0.999,0.981,0.9635,0.99975,0.571,0.999,0.99975,0.99575,0.466,0.98975,0.9995,1,0.9995,0.99475,0.99925,0.9975,0.94275,0.92625,0.983,0.50825,0.38475,0.893,0.9895,1,0.9485,0.99975,0.027,0.98975,0.8185,0.192,0.99875,0.99925,0.1355,1,0.995,1,0.4615
"2",0.9855,1,0.30975,0.08025,0.42375,0.07075,0.99825,0.99175,0.8515,0.96725,0.0405,1,0.039,0.24575,0.99175,0.982,0.992,1,0.99975,0.212,1,0.99825,0.95775,0.382,0.99675,0.99725,1,0.003,0.976,1,0.404,1,0.07175,0.9155,0.9835,0.99925,0.9865,0.994,1,0.0345,0.99975,1,0.17625,0.6275,0.30075,0.21875,0.4265,0.89875,0.988,1,0.9295,0.93075,0.98525,0.45325,0.8,0.998,0.29375,0.0705,0.36125,0.99675,0.983,0.0315,0.978,0.36225,0.99825,0.983,0.95625,0.99975,0.55125,0.99725,0.998,0.99625,0.45075,0.9845,0.99875,0.99925,0.9995,0.99425,0.9995,0.99725,0.931,0.92475,0.9735,0.49,0.3835,0.88275,0.986,0.999,0.93675,1,0.0265,0.989,0.789,0.19925,0.9985,1,0.12475,1,0.9955,1,0.43225
"3",0.98425,1,0.316,0.0705,0.4115,0.05725,0.998,0.987,0.85825,0.967,0.04175,1,0.03775,0.25375,0.992,0.98125,0.99425,0.99925,1,0.19875,1,0.9975,0.9535,0.36425,0.99625,0.9975,0.9995,0.00175,0.9645,1,0.36475,1,0.06675,0.90075,0.97975,0.99875,0.989,0.9935,1,0.0275,1,0.99975,0.16575,0.60275,0.29975,0.21475,0.40725,0.87725,0.98825,1,0.9145,0.929,0.98525,0.425,0.79825,0.997,0.27475,0.05525,0.35675,0.9985,0.977,0.0305,0.97475,0.36,0.99975,0.9815,0.9375,0.9995,0.53775,0.9995,0.99875,0.9925,0.43225,0.98175,1,0.99825,1,0.99175,0.99925,0.9975,0.93475,0.89925,0.9725,0.477,0.36,0.85325,0.98175,0.99975,0.92575,0.99925,0.022,0.99,0.78375,0.1745,0.99625,0.999,0.10725,1,0.99425,0.99975,0.42775
"4",0.984,0.99875,0.276,0.0675,0.39325,0.0635,0.99975,0.98625,0.8355,0.967,0.03325,1,0.029,0.2265,0.98975,0.97975,0.99175,0.99925,0.99975,0.17125,1,0.996,0.936,0.32075,0.99575,0.996,1,0.0025,0.9605,1,0.35725,0.9995,0.06525,0.90375,0.97275,0.9995,0.98075,0.99075,1,0.03,0.99975,1,0.152,0.61125,0.26725,0.21125,0.39375,0.876,0.9865,1,0.899,0.9235,0.98275,0.4185,0.78275,0.99525,0.27475,0.0585,0.3365,0.99525,0.97975,0.026,0.97175,0.36275,0.9975,0.971,0.92825,0.999,0.53175,0.99925,0.99825,0.99225,0.428,0.9795,0.99925,0.99675,0.99925,0.9875,0.99875,0.99525,0.915,0.901,0.96575,0.46225,0.3305,0.8485,0.97475,0.99975,0.91875,0.999,0.021,0.9885,0.7415,0.16975,0.9975,0.9985,0.1085,0.99975,0.9925,0.99975,0.39125
"5",0.98475,0.99925,0.2715,0.0625,0.366,0.06225,0.998,0.98625,0.83,0.96825,0.03475,1,0.03525,0.2155,0.99025,0.9725,0.989,0.99875,0.9995,0.14575,1,0.99625,0.93325,0.32525,0.992,0.9965,0.9995,0.00325,0.937,0.99975,0.36675,0.99975,0.0535,0.867,0.97075,0.998,0.98,0.991,1,0.025,0.9995,1,0.16075,0.59425,0.2745,0.19425,0.3615,0.873,0.9795,1,0.889,0.921,0.981,0.4035,0.76925,0.9915,0.2475,0.0435,0.3195,0.993,0.974,0.01875,0.974,0.33475,0.997,0.97375,0.911,0.99875,0.525,0.997,0.997,0.99325,0.39725,0.96925,0.9985,0.99575,0.9995,0.986,0.9975,0.995,0.8985,0.89,0.96825,0.44675,0.30025,0.8245,0.97825,0.999,0.905,0.99975,0.015,0.985,0.734,0.1575,0.998,0.99875,0.09575,1,0.99275,1,0.38475
"6",0.9745,0.999,0.25825,0.0625,0.35975,0.05575,0.9955,0.982,0.80325,0.96175,0.03175,1,0.0295,0.203,0.98425,0.9765,0.989,0.999,0.99975,0.145,0.9995,0.99275,0.9255,0.3345,0.99325,0.9945,0.9995,0.00125,0.9435,1,0.32625,0.9995,0.0525,0.847,0.958,0.99525,0.97325,0.9925,1,0.029,0.999,0.99975,0.13325,0.5815,0.26125,0.1875,0.34925,0.867,0.9775,1,0.8635,0.91725,0.964,0.389,0.7815,0.9905,0.23175,0.04225,0.3275,0.99225,0.967,0.02525,0.95975,0.31225,0.99325,0.9625,0.90175,0.9995,0.488,0.99775,0.99625,0.98725,0.372,0.965,0.99925,0.99525,0.99975,0.99025,0.998,0.99725,0.89925,0.8695,0.95625,0.43025,0.30025,0.813,0.9595,0.9995,0.893,0.99975,0.01575,0.977,0.71225,0.145,0.99575,0.99925,0.0905,1,0.995,1,0.3805
"7",0.971,0.99925,0.22925,0.05425,0.3515,0.0465,0.99675,0.975,0.803,0.95725,0.03325,1,0.025,0.20525,0.98875,0.968,0.98825,0.99875,0.9995,0.14925,0.99975,0.994,0.90475,0.3045,0.98975,0.996,0.9995,0.0015,0.92975,0.99975,0.319,0.99925,0.055,0.83225,0.9545,0.99725,0.96925,0.9905,1,0.0265,0.9985,1,0.12675,0.569,0.25325,0.1735,0.3415,0.863,0.96475,1,0.8625,0.9015,0.94975,0.378,0.73725,0.993,0.22925,0.04375,0.30675,0.99025,0.954,0.022,0.95725,0.311,0.9945,0.95725,0.889,0.998,0.4585,0.99675,0.993,0.99,0.357,0.963,0.9995,0.9945,0.99875,0.9835,0.9965,0.99525,0.90625,0.84825,0.95375,0.43225,0.28275,0.795,0.955,0.999,0.86825,0.99925,0.0165,0.97875,0.6945,0.12425,0.9955,0.9995,0.08675,1,0.99325,1,0.3515
"8",0.9675,0.99775,0.22825,0.05275,0.33775,0.04925,0.996,0.96475,0.7855,0.951,0.02925,0.99975,0.026,0.18225,0.97775,0.96625,0.98325,0.99775,0.99975,0.12525,0.99975,0.99375,0.88275,0.28925,0.98825,0.98675,0.99975,0.001,0.91775,0.99975,0.31375,0.99925,0.048,0.8045,0.94725,0.993,0.9615,0.99,1,0.024,0.9995,0.99975,0.1165,0.54125,0.242,0.1715,0.3135,0.8295,0.96225,1,0.84525,0.8875,0.96125,0.35375,0.75025,0.98725,0.224,0.04025,0.27975,0.9865,0.95725,0.01975,0.9545,0.29175,0.99475,0.96175,0.86975,0.99825,0.4395,0.99675,0.993,0.98375,0.343,0.944,0.99725,0.993,0.999,0.98,0.9955,0.995,0.88475,0.847,0.9375,0.4065,0.26975,0.765,0.95325,0.9995,0.85575,0.99875,0.01825,0.96775,0.6425,0.1135,0.9915,0.999,0.0835,0.99925,0.989,0.99975,0.31125
"9",0.97,0.99875,0.20375,0.044,0.31075,0.05125,0.99225,0.96375,0.7595,0.937,0.0255,1,0.022,0.17525,0.97725,0.95825,0.9765,0.99925,0.99925,0.10125,1,0.987,0.86625,0.283,0.9875,0.98575,0.99875,0.00125,0.89275,1,0.312,0.99825,0.0455,0.785,0.93475,0.99075,0.9515,0.985,1,0.02075,0.99925,1,0.10675,0.5145,0.22425,0.15225,0.296,0.83375,0.95525,1,0.82825,0.8885,0.94575,0.3405,0.73775,0.98625,0.18025,0.03975,0.278,0.98375,0.9315,0.01325,0.9515,0.2665,0.99375,0.952,0.8645,0.9975,0.42825,0.99575,0.98775,0.97475,0.321,0.944,0.9965,0.9925,0.99925,0.97475,0.998,0.99,0.87075,0.822,0.92775,0.39725,0.25275,0.74675,0.95025,0.99875,0.829,0.998,0.01525,0.9605,0.63025,0.098,0.9935,0.997,0.069,0.99925,0.98875,1,0.28825
"10",0.94975,0.99775,0.19325,0.03925,0.29725,0.0445,0.9905,0.94825,0.7305,0.934,0.02425,1,0.0235,0.167,0.96575,0.9465,0.9695,0.9975,0.99875,0.10425,0.9995,0.9875,0.84075,0.27075,0.983,0.9815,0.99875,0,0.8705,1,0.29875,0.99825,0.04025,0.76225,0.92825,0.9925,0.95,0.988,1,0.0205,0.997,0.99975,0.096,0.5125,0.22925,0.13475,0.262,0.829,0.94875,1,0.79325,0.867,0.93275,0.3255,0.7185,0.9845,0.17625,0.03275,0.2675,0.97525,0.92175,0.02025,0.9385,0.271,0.992,0.94425,0.8375,0.997,0.41,0.99575,0.98725,0.971,0.2985,0.92825,0.997,0.989,0.99875,0.97025,0.99575,0.98825,0.85175,0.799,0.92025,0.38625,0.22775,0.70325,0.9335,0.99775,0.813,0.99875,0.01325,0.9485,0.599,0.10875,0.98775,0.99925,0.08,1,0.98675,0.9995,0.267
"11",0.956,0.995,0.18425,0.03775,0.26025,0.04075,0.9905,0.9425,0.74525,0.92775,0.027,1,0.01975,0.14425,0.956,0.945,0.9645,0.998,0.99825,0.07475,0.999,0.9865,0.82825,0.24725,0.9845,0.981,0.99825,0.0015,0.86475,0.99975,0.26925,0.9995,0.04125,0.746,0.91875,0.99075,0.91375,0.98325,1,0.02175,0.997,0.99975,0.0925,0.487,0.20225,0.13575,0.245,0.80175,0.9355,0.99975,0.78275,0.8765,0.91025,0.2975,0.7055,0.979,0.18025,0.03275,0.25525,0.9725,0.91575,0.017,0.921,0.2735,0.98575,0.929,0.8065,0.996,0.37175,0.991,0.98675,0.96275,0.27025,0.91175,0.9935,0.98225,0.998,0.97075,0.993,0.98625,0.84375,0.77025,0.8975,0.36225,0.2095,0.71525,0.9305,0.9985,0.80625,0.99725,0.0115,0.94675,0.57325,0.091,0.98175,0.99575,0.0595,0.99975,0.986,1,0.2695
"12",0.94925,0.9985,0.16325,0.0305,0.244,0.03525,0.98525,0.932,0.7265,0.91725,0.019,1,0.01375,0.1485,0.9435,0.927,0.9565,0.99425,0.998,0.08275,0.99875,0.97925,0.7985,0.2445,0.97925,0.97125,0.9995,0.00125,0.84925,0.99975,0.254,0.997,0.03725,0.727,0.9075,0.987,0.92425,0.9795,1,0.01275,0.997,0.999,0.094,0.4715,0.2055,0.1225,0.23125,0.79775,0.9375,1,0.77075,0.858,0.9075,0.28475,0.703,0.974,0.16025,0.0305,0.22925,0.95775,0.89375,0.01575,0.915,0.25875,0.9815,0.928,0.79025,0.99325,0.36775,0.99075,0.9795,0.95825,0.249,0.9025,0.9935,0.97825,0.99625,0.96325,0.98625,0.9845,0.828,0.7435,0.88625,0.356,0.19725,0.662,0.9135,0.9955,0.77,0.9955,0.015,0.927,0.52125,0.079,0.97625,0.99425,0.059,0.99975,0.98,0.99975,0.24925
"13",0.93875,0.9935,0.14975,0.03,0.247,0.04175,0.986,0.90425,0.68375,0.9135,0.01925,1,0.01825,0.13575,0.93525,0.92175,0.9555,0.99575,0.99775,0.07175,0.99925,0.97775,0.79425,0.2195,0.9665,0.9685,0.997,0.00025,0.81075,0.99975,0.24325,0.99625,0.03475,0.67575,0.88675,0.98375,0.91,0.97125,1,0.017,0.9955,0.9995,0.0725,0.438,0.19525,0.127,0.2,0.79125,0.9115,1,0.75425,0.847,0.884,0.27875,0.6675,0.96825,0.14925,0.026,0.22325,0.95175,0.87,0.01425,0.90275,0.23225,0.97825,0.9125,0.74925,0.996,0.33325,0.989,0.97375,0.93875,0.243,0.89425,0.995,0.973,0.99725,0.96025,0.982,0.9785,0.80525,0.71,0.85725,0.35325,0.1735,0.6445,0.89725,0.99775,0.7495,0.99425,0.00775,0.914,0.52175,0.0775,0.978,0.99425,0.056,0.99975,0.97775,0.9995,0.23925
"14",0.9275,0.993,0.1475,0.02825,0.2265,0.03375,0.982,0.90075,0.7015,0.9065,0.0185,1,0.01675,0.12225,0.928,0.90575,0.931,0.99225,0.99525,0.05875,0.999,0.965,0.7525,0.21,0.957,0.959,0.995,5e-04,0.786,1,0.2245,0.99375,0.02575,0.65075,0.86975,0.97575,0.8795,0.9715,1,0.019,0.9945,0.9995,0.0605,0.4275,0.17025,0.09875,0.1845,0.7665,0.9015,0.9995,0.692,0.8255,0.87225,0.255,0.6675,0.9645,0.13425,0.0195,0.22075,0.96025,0.849,0.01175,0.8785,0.2175,0.9745,0.90675,0.728,0.99225,0.32225,0.98675,0.9625,0.9425,0.23275,0.8625,0.991,0.96125,0.994,0.94825,0.98175,0.97725,0.80025,0.69975,0.84725,0.3235,0.14675,0.6165,0.8865,0.997,0.7345,0.99475,0.008,0.9105,0.483,0.05825,0.973,0.992,0.0485,0.999,0.96525,0.99925,0.22175
"15",0.90775,0.989,0.13025,0.02725,0.21425,0.03325,0.9735,0.88025,0.66225,0.8995,0.0125,1,0.012,0.1145,0.911,0.8855,0.93525,0.99225,0.995,0.05725,0.999,0.9535,0.7075,0.19225,0.954,0.94825,0.99225,5e-04,0.7685,0.999,0.21225,0.996,0.03375,0.62075,0.854,0.96975,0.882,0.96725,1,0.01225,0.9905,0.99875,0.071,0.409,0.161,0.10025,0.1755,0.7625,0.895,0.9985,0.67625,0.80775,0.83025,0.24725,0.65325,0.96475,0.11825,0.0195,0.211,0.93125,0.827,0.012,0.88725,0.216,0.96925,0.87875,0.6785,0.99325,0.312,0.97875,0.96725,0.92225,0.1835,0.866,0.986,0.95825,0.994,0.9325,0.97725,0.9705,0.765,0.676,0.84,0.3075,0.141,0.56675,0.85,0.991,0.70275,0.993,0.009,0.8865,0.4435,0.06025,0.951,0.9915,0.048,0.999,0.9705,0.99875,0.20525
"16",0.90525,0.98525,0.12225,0.0245,0.1965,0.02675,0.97175,0.872,0.6385,0.89375,0.01275,1,0.01275,0.106,0.88175,0.8785,0.92125,0.98925,0.992,0.0455,0.99875,0.94125,0.69925,0.17825,0.952,0.9435,0.99275,0.001,0.7385,0.9985,0.2105,0.992,0.028,0.5675,0.817,0.9665,0.84325,0.96575,1,0.01525,0.9895,0.99875,0.05825,0.38625,0.161,0.0975,0.1715,0.75775,0.87275,0.9995,0.64325,0.78725,0.83175,0.231,0.6355,0.956,0.103,0.0175,0.18125,0.914,0.8025,0.011,0.84825,0.18575,0.9545,0.85975,0.64525,0.993,0.2905,0.97775,0.94525,0.908,0.1925,0.82175,0.9825,0.954,0.99325,0.92425,0.97325,0.96375,0.7485,0.638,0.78875,0.29775,0.12875,0.547,0.825,0.98925,0.65625,0.99325,0.0135,0.853,0.42575,0.05375,0.94775,0.9875,0.04275,0.999,0.9655,0.99875,0.18725
"17",0.8935,0.98375,0.109,0.02025,0.186,0.0275,0.95425,0.8395,0.5985,0.88125,0.01225,1,0.0075,0.0925,0.85925,0.84825,0.90475,0.98775,0.99025,0.03725,0.9975,0.9215,0.653,0.172,0.94475,0.928,0.9915,0,0.707,0.999,0.1885,0.9865,0.024,0.54675,0.787,0.9575,0.81375,0.94825,1,0.01625,0.982,0.99825,0.05675,0.3765,0.1555,0.088,0.1535,0.73275,0.83975,1,0.6215,0.79225,0.7955,0.2225,0.613,0.93525,0.10675,0.01675,0.18025,0.90025,0.775,0.0145,0.82725,0.1855,0.95325,0.85975,0.61675,0.9835,0.27475,0.97025,0.9335,0.89125,0.16525,0.7985,0.9765,0.946,0.98675,0.91125,0.96825,0.958,0.747,0.615,0.7805,0.28375,0.10425,0.5045,0.82125,0.98675,0.60575,0.99125,0.00625,0.8405,0.3795,0.0415,0.933,0.98675,0.04775,0.9985,0.95675,0.9985,0.1605
"18",0.872,0.9775,0.0935,0.016,0.17325,0.0275,0.9505,0.8055,0.59,0.85575,0.0095,1,0.01025,0.07925,0.8645,0.83675,0.899,0.98575,0.99,0.0355,0.9965,0.91675,0.62475,0.1615,0.93325,0.9165,0.986,0.00025,0.68325,0.9985,0.1715,0.98775,0.022,0.4965,0.76575,0.948,0.78825,0.9485,1,0.0125,0.98525,0.99925,0.0505,0.364,0.1325,0.08075,0.12475,0.70025,0.83625,0.9985,0.57875,0.77,0.7625,0.197,0.585,0.933,0.08925,0.015,0.1615,0.8905,0.74675,0.0125,0.80625,0.18275,0.94875,0.83975,0.57725,0.9805,0.23175,0.966,0.921,0.8695,0.16725,0.776,0.9645,0.9295,0.986,0.906,0.96225,0.94625,0.704,0.57275,0.736,0.2585,0.09375,0.4815,0.796,0.9855,0.5845,0.98775,0.00725,0.81675,0.34325,0.03425,0.92525,0.97825,0.03925,0.9985,0.9415,0.9975,0.1565
"19",0.85275,0.97325,0.08525,0.01125,0.14875,0.02275,0.93625,0.7945,0.56775,0.84575,0.0095,1,0.00975,0.075,0.80975,0.808,0.87525,0.98025,0.98675,0.031,0.9985,0.895,0.58,0.153,0.92025,0.9045,0.9845,5e-04,0.61575,0.996,0.1815,0.979,0.019,0.461,0.7385,0.93775,0.75425,0.9445,1,0.01025,0.9725,0.99925,0.0385,0.32325,0.14,0.06725,0.1105,0.67175,0.8065,0.99925,0.541,0.73675,0.715,0.18625,0.584,0.92475,0.086,0.01275,0.1605,0.85775,0.723,0.0075,0.79475,0.1735,0.93675,0.826,0.5275,0.9745,0.20225,0.959,0.91975,0.8605,0.13175,0.7155,0.95425,0.91325,0.97275,0.88975,0.95475,0.93275,0.684,0.551,0.70975,0.23675,0.094,0.44525,0.739,0.979,0.553,0.9765,0.006,0.773,0.3175,0.032,0.9115,0.98325,0.0345,0.99825,0.944,0.9965,0.14725
"20",0.8425,0.9645,0.07725,0.016,0.14275,0.02,0.93725,0.758,0.5295,0.83575,0.01,0.99975,0.009,0.07625,0.7995,0.7655,0.842,0.981,0.98375,0.02975,0.99825,0.88325,0.51975,0.12925,0.90425,0.879,0.98475,0.00025,0.603,0.99525,0.14,0.97775,0.01575,0.41575,0.69925,0.918,0.71925,0.93725,1,0.0105,0.971,0.998,0.035,0.3095,0.11825,0.0695,0.10725,0.664,0.77425,0.99875,0.51225,0.72975,0.69725,0.18675,0.549,0.89475,0.07425,0.0085,0.1535,0.83625,0.68175,0.00775,0.745,0.145,0.92525,0.803,0.5085,0.97125,0.203,0.943,0.88825,0.837,0.12125,0.68875,0.953,0.89025,0.9675,0.8695,0.941,0.92325,0.65,0.5285,0.6855,0.2255,0.0755,0.419,0.72275,0.9715,0.53175,0.98,0.005,0.7485,0.2935,0.03325,0.8965,0.96775,0.02825,0.9965,0.936,0.9935,0.1205
"21",0.81275,0.94625,0.07025,0.01075,0.1315,0.02225,0.90075,0.73525,0.51275,0.81775,0.00925,1,0.004,0.06225,0.74475,0.74925,0.81125,0.96425,0.9785,0.02075,0.9975,0.85475,0.50975,0.11775,0.8885,0.8575,0.97,0.00025,0.54725,0.99075,0.13575,0.972,0.0135,0.376,0.6575,0.8925,0.69025,0.921,1,0.0065,0.961,0.996,0.032,0.28075,0.123,0.059,0.085,0.64725,0.7355,0.9975,0.47075,0.71275,0.647,0.166,0.52175,0.88275,0.06525,0.01325,0.1465,0.81975,0.65825,0.00725,0.708,0.15625,0.8985,0.7585,0.453,0.97475,0.17725,0.933,0.87125,0.8015,0.115,0.65625,0.9425,0.8745,0.96525,0.85375,0.93075,0.9055,0.62175,0.4745,0.63875,0.222,0.077,0.3635,0.694,0.95675,0.48575,0.9645,0.0065,0.71,0.25225,0.0195,0.862,0.968,0.03,0.99525,0.92575,0.99325,0.11025
"22",0.77175,0.9425,0.0585,0.01075,0.12425,0.01825,0.895,0.68975,0.48925,0.79675,0.00775,0.99975,0.00775,0.061,0.72625,0.70625,0.79825,0.9585,0.9775,0.0215,0.99575,0.84125,0.441,0.1155,0.86375,0.82875,0.9675,5e-04,0.518,0.9885,0.1325,0.96325,0.01625,0.3205,0.63325,0.88825,0.6335,0.909,1,0.00875,0.953,0.9955,0.029,0.27425,0.1025,0.0525,0.0805,0.61425,0.71325,0.9975,0.44575,0.70125,0.63825,0.14975,0.527,0.87075,0.0635,0.0095,0.125,0.7975,0.60725,0.0095,0.698,0.131,0.89675,0.7445,0.41,0.96325,0.1685,0.9245,0.85825,0.7595,0.09325,0.6145,0.91475,0.84575,0.957,0.84,0.90175,0.8915,0.605,0.435,0.5975,0.22125,0.0585,0.329,0.63875,0.95725,0.43125,0.95825,0.0045,0.7035,0.223,0.01825,0.8455,0.96075,0.02675,0.995,0.916,0.9905,0.09375
"23",0.766,0.92325,0.0485,0.00975,0.092,0.0135,0.86625,0.639,0.4585,0.76725,0.006,1,0.00625,0.04975,0.67875,0.6905,0.7645,0.949,0.96625,0.01525,0.99625,0.8215,0.42125,0.0965,0.8425,0.79975,0.9485,5e-04,0.471,0.9845,0.12225,0.952,0.0135,0.3015,0.59425,0.83175,0.604,0.90175,0.9995,0.00525,0.931,0.996,0.01975,0.24,0.092,0.047,0.078,0.60725,0.685,0.9945,0.41025,0.67925,0.57825,0.13975,0.48825,0.84875,0.05625,0.00925,0.12675,0.758,0.5665,0.007,0.65925,0.11725,0.8715,0.71525,0.35975,0.9465,0.14975,0.90575,0.81625,0.71325,0.08475,0.55975,0.90025,0.82075,0.94775,0.81825,0.89075,0.87125,0.569,0.38275,0.54975,0.1905,0.05575,0.2995,0.6115,0.94025,0.386,0.9595,0.0025,0.6515,0.20125,0.0155,0.82425,0.9455,0.02175,0.995,0.90425,0.9935,0.08125
"24",0.73675,0.88775,0.048,0.00725,0.0935,0.0115,0.84025,0.60775,0.43025,0.75775,0.00675,1,0.005,0.0425,0.6495,0.656,0.74125,0.9365,0.95725,0.01475,0.99725,0.78575,0.38225,0.0915,0.83225,0.79675,0.936,0,0.42525,0.9815,0.112,0.9355,0.0135,0.275,0.56925,0.82125,0.55,0.88725,1,0.00625,0.9175,0.99275,0.027,0.234,0.09875,0.04725,0.056,0.59225,0.65175,0.993,0.354,0.6425,0.5175,0.13,0.45925,0.815,0.052,0.0055,0.107,0.727,0.50575,0.003,0.63325,0.11975,0.84575,0.6815,0.32125,0.94075,0.13775,0.8915,0.8045,0.6805,0.0745,0.549,0.876,0.79175,0.93225,0.78125,0.865,0.849,0.53475,0.40025,0.5415,0.17075,0.04675,0.29,0.578,0.934,0.37,0.93775,0.00525,0.59325,0.1835,0.011,0.80625,0.94525,0.02025,0.99275,0.88325,0.98325,0.07325
"25",0.6855,0.87675,0.04075,0.01,0.0745,0.012,0.816,0.565,0.3865,0.72425,0.0055,0.99975,0.0025,0.03825,0.5885,0.62275,0.6985,0.93525,0.94525,0.00975,0.993,0.75775,0.34825,0.08525,0.78625,0.73475,0.93775,0.00025,0.39375,0.9745,0.09725,0.932,0.01175,0.246,0.50225,0.80475,0.545,0.867,1,0.00625,0.91475,0.99325,0.01675,0.196,0.0795,0.03725,0.0525,0.539,0.606,0.98975,0.32,0.615,0.48975,0.11925,0.46,0.79175,0.0445,0.00675,0.096,0.678,0.4675,0.0025,0.58025,0.1075,0.8125,0.649,0.30625,0.92575,0.11225,0.85575,0.77525,0.658,0.0595,0.52275,0.8685,0.75825,0.916,0.7505,0.8395,0.81675,0.50775,0.3405,0.49175,0.153,0.0395,0.23125,0.53525,0.9135,0.3185,0.916,0.004,0.57025,0.1415,0.0115,0.7765,0.93775,0.01825,0.991,0.87175,0.9855,0.07225
"26",0.669,0.8545,0.0335,0.00625,0.0655,0.012,0.787,0.53025,0.35225,0.70575,0.00475,0.9995,0.00425,0.03875,0.57425,0.60525,0.666,0.9185,0.93475,0.011,0.9935,0.71775,0.3005,0.087,0.7545,0.69575,0.9155,0.00025,0.3515,0.9625,0.09275,0.9015,0.0095,0.2025,0.474,0.77575,0.4875,0.84175,1,0.005,0.8695,0.98625,0.01775,0.18975,0.07425,0.04075,0.04825,0.51675,0.57575,0.989,0.30225,0.59425,0.43825,0.09575,0.414,0.78275,0.03575,0.003,0.09375,0.64725,0.4365,0.00325,0.55,0.09625,0.796,0.60375,0.26575,0.91425,0.093,0.84525,0.72175,0.6065,0.05925,0.4495,0.8225,0.7205,0.89625,0.70975,0.80875,0.801,0.47725,0.30275,0.44025,0.1555,0.0335,0.216,0.4985,0.8945,0.284,0.9155,0.0025,0.50975,0.123,0.01125,0.73975,0.92,0.0165,0.9885,0.84875,0.9785,0.0485
"27",0.6315,0.84275,0.03125,0.00625,0.05925,0.0085,0.72475,0.47675,0.34825,0.6725,0.0015,0.9985,0.004,0.0315,0.512,0.55775,0.63225,0.901,0.91875,0.00825,0.99025,0.663,0.2795,0.06475,0.74875,0.6645,0.89725,0,0.2955,0.95675,0.085,0.87825,0.0095,0.1745,0.42425,0.72675,0.441,0.82425,0.99975,0.00325,0.866,0.9845,0.0135,0.17525,0.0695,0.02975,0.04275,0.47925,0.52825,0.986,0.26775,0.57275,0.4125,0.09525,0.40625,0.73425,0.0285,0.00375,0.08,0.6215,0.39575,0.006,0.4985,0.08725,0.74725,0.58725,0.22375,0.898,0.08575,0.817,0.68375,0.5745,0.0525,0.41025,0.825,0.688,0.875,0.692,0.7525,0.763,0.43975,0.26075,0.40125,0.13725,0.02125,0.19425,0.4425,0.87775,0.26175,0.88075,0.001,0.48675,0.1175,0.0065,0.67325,0.8995,0.01475,0.98175,0.81575,0.97025,0.046
"28",0.5905,0.80675,0.02425,0.00475,0.0505,0.0075,0.71,0.426,0.32075,0.632,0.0035,0.9995,0.003,0.028,0.469,0.50775,0.5835,0.89425,0.9005,0.004,0.9895,0.62575,0.22375,0.063,0.71,0.60525,0.87725,0,0.27575,0.95275,0.07275,0.85775,0.0075,0.142,0.392,0.68325,0.374,0.79825,1,0.00625,0.833,0.9825,0.01225,0.14325,0.05675,0.03,0.024,0.4695,0.47225,0.982,0.239,0.53075,0.35425,0.08875,0.38475,0.6935,0.025,0.006,0.0705,0.5745,0.33425,0.0025,0.47625,0.0765,0.7095,0.54425,0.192,0.8845,0.08525,0.77875,0.646,0.521,0.04125,0.34175,0.789,0.657,0.8515,0.673,0.7305,0.732,0.37625,0.23075,0.345,0.13225,0.024,0.16575,0.38375,0.8635,0.21275,0.85325,0.0025,0.4485,0.1005,0.0065,0.64625,0.889,0.01225,0.9805,0.797,0.96675,0.05325
