"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_Rkr_a",1.49218321893509,0.289309609029315,0.00528204663227853,0.00533639114465513,0.948068923642653,1.29595780188798,1.48114546859989,1.67848566394334,2.09285759001449,3092.37095771038,0.999801643354274
"Rec[1,1]",575.432004121325,188.741054012278,3.44592442699418,3.44748796987486,286.671945355134,440.413323135941,547.156107827928,676.595054585124,1024.91298478496,2862.65765611195,0.99968410686074
"Rec[2,1]",150.671460748674,121.732085459013,2.22251363926827,2.22139224555004,8.84707784801946,61.1766379759125,119.75332384584,209.334493866947,456.62568038887,2534.57033631756,0.999962367659971
"Rec[3,1]",314.859338339778,146.065718948711,2.66678297154729,2.56639438143701,104.141890754736,212.01299251001,290.567008694862,389.903065627077,664.803214902608,3073.10308455394,1.00032180815693
"Rec[4,1]",78.2887649348039,64.9856596804789,1.18647039071174,1.23452893340037,4.96592538968294,30.9186190690198,62.4330795495788,106.281137648126,245.893596283074,2322.09491631205,0.999675060779112
"Rec[5,1]",587.543376130565,163.70967000211,2.98891597139608,3.03443268788356,327.693791276112,469.167215773913,568.153971207555,675.771799588872,969.862468283767,2907.60529709875,1.00013571270751
"Rec[6,1]",283.853244018618,96.2366562791757,1.75703291676586,1.75695827606016,134.645660170226,213.367532468322,271.756197814694,340.2494839175,510.892087545331,2942.91188036608,1.00012508081199
"Rec[7,1]",503.203196542609,157.842861857294,2.88180319934705,2.96708745093193,249.710118436004,386.862184374902,484.784158653543,598.170261062445,858.683644480587,2850.2121105737,1.00012054919009
"Rec[8,1]",133.676824575724,66.3369502246311,1.21114146780426,1.21093993081926,39.6859085110411,86.2254445808901,122.099271201817,168.041905868163,295.600675001651,2878.67867382858,0.99994141891686
"Rec[9,1]",546.065838327194,171.367016043952,3.12871934332074,3.17928252571983,280.379763570978,421.102964896436,521.62479098994,647.148765469607,944.73992926066,2902.11677796231,0.999800959399573
"Rec[10,1]",334.767235827616,108.479568576679,1.98055689126251,1.99571935918421,161.340794715755,256.995734968805,318.698443247836,400.023227849261,583.141439436127,2657.75265834845,0.999763366746444
"Rec[11,1]",1084.57462398441,262.696426562796,4.7961586201481,4.9019573406371,651.054138634185,895.248222945146,1061.25714707291,1239.01298025526,1666.67308684531,2905.96374006892,0.999788270516054
"Rec[12,1]",210.643466412462,83.8109303814932,1.53017123784796,1.53051123306078,84.7500067766901,150.367235761287,197.643828593988,258.129961751287,414.13706957923,3184.72545076821,1.0000545678448
"Rec[13,1]",1200.20307237301,296.620484575783,5.41552434734232,5.63317585197909,708.633440890479,991.636731069532,1171.37188003873,1378.54041250899,1865.03242137955,2914.3002225314,1.00156664404267
"Rec[14,1]",333.633603428286,107.723750075926,1.96675759652111,1.97556441561583,163.515475286644,256.564516014683,318.38630334114,394.442127889159,575.469089584617,2829.63604410121,1.00004036049787
"Rec[15,1]",250.07774432555,60.1883437377884,1.09888378546872,1.05215861839906,150.412385441733,207.029046796983,243.842850842112,286.109847020284,385.489605354302,2832.66394671062,0.999835567868326
"Rec[16,1]",379.191372673534,107.546905859707,1.96352887764154,2.05982066238854,205.932628357949,300.423160404166,365.323247656074,443.323126730134,618.931441525886,2798.97174089477,1.00018254781431
"Rec[17,1]",498.806333545188,160.463395547146,2.92964737983487,2.85314430582418,250.764927628193,384.353189923308,479.381414454465,586.22383725459,873.933685166309,3092.51316161039,1.00085931457454
"Rec[18,1]",436.244259673342,111.700713407961,2.03936668076534,1.9451093279897,255.585903055729,357.881282734271,424.973094216769,496.800314708961,696.350180504121,3203.45898440472,1.00047893985846
"Rec[19,1]",399.006143621931,113.810545493485,2.07788676829166,2.18619263804565,213.97953556115,318.554944266064,382.198169432679,463.445364730472,663.484138779999,2605.34086357323,1.00091874470653
"Rec[20,1]",329.725978139884,114.096061966202,2.08309956204654,2.08329066450752,148.020662810194,248.279885684263,315.226329503613,395.469065718606,580.375835858328,2974.8082571413,1.00036501588738
"Rec[21,1]",236.911225679698,89.5184205143824,1.63437527426535,1.61648145953445,99.2562255420562,172.090527275007,226.048504144031,288.124903510842,437.990006908237,3149.2480648015,1.00220812245573
"Rec[22,1]",845.368336838651,211.812455238525,3.86714865648978,3.92725681330939,500.962978782716,690.765017056219,824.739312969517,971.435912772118,1332.66418131344,2933.58152761364,1.00113457250915
"Rec[23,1]",878.10878270517,214.710895121208,3.92006668666705,3.80777902011349,529.094766131348,725.361338566226,857.798184805179,1007.58151869608,1337.95956000917,2996.07203976128,1.00008530019192
"Rec[24,1]",116.334786881147,76.9417167455446,1.40475712915693,1.3200499968598,16.8363547256164,59.2498812023209,99.884727144083,155.514020657576,305.487103487868,3037.26567060878,1.00012012720168
"Rec[25,1]",1116.15393328287,288.109062622834,5.26012775400649,5.30475166598365,649.457466095166,909.486639491558,1086.27871831333,1287.05900243033,1775.00340748824,2956.18632316313,1.0003035438157
