"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_BH_a",1.60082976088936,0.412335479770306,0.00651959638086225,0.0120134246382027,0.868563453015249,1.27533106884162,1.59657343249015,1.9282651416296,2.32478623843193,1093.25111421831,1.00088980515426
"Rec[1,1]",576.12217267149,180.621690617741,2.85587968591164,2.85663481438148,291.485055548591,449.374515079183,553.167671602793,673.85056549083,1003.41458074087,3961.6075987469,0.999883495710824
"Rec[2,1]",154.968655817179,129.289773664371,2.04425081473534,2.89408734071264,10.9223535794206,62.4126894765386,120.727554151491,209.552955740392,481.691680311529,1275.14518608249,1.00119177474451
"Rec[3,1]",315.224231425658,144.955273191884,2.29194411069149,2.4244941652159,103.321259253557,208.238141060642,291.846893445611,390.342436675657,657.897262764179,3127.32806409381,1.00090775692357
"Rec[4,1]",79.9052364574244,66.1824912148253,1.04643706731466,1.49952271174257,6.16391096601241,32.0009559166338,62.8059893259771,109.718385231628,251.742662399853,1393.44105698412,1.00079247429977
"Rec[5,1]",574.070746854074,154.497826355336,2.44282512414026,2.67278353535478,324.358565659418,462.185037916611,557.806386631972,665.461225303747,917.27836769272,3218.53222681341,0.999879402673981
"Rec[6,1]",279.484926934983,93.849981100598,1.48389849320823,1.6129380223988,130.249688535574,210.357257542369,267.314867742712,334.381068867819,494.530510545714,3112.8400551715,1.00175289069655
"Rec[7,1]",505.111978033722,153.234604951749,2.42285184001822,2.458929813862,258.497125447395,394.228245230574,483.933195074794,596.470893092697,860.048045325672,3703.79044025461,0.999929744005038
"Rec[8,1]",132.443194644571,65.099456338411,1.02931278234032,1.20518243911503,37.7265892185193,85.3793455063217,122.803374804197,167.376285725963,285.096841290996,2583.18558908708,0.999851487414583
"Rec[9,1]",540.509239781949,167.503102452313,2.64845659446922,2.85182020588054,274.357623833147,421.487563098932,517.692168962619,639.579902010212,924.264612954747,3369.10032950079,1.00033328704946
"Rec[10,1]",326.834815902233,105.034616667407,1.66074310915846,1.83122908679273,157.842527860434,250.551669622523,313.958587252111,389.881607048092,564.471816077899,3081.26324039671,1.00012025439136
"Rec[11,1]",1089.2890314753,244.006433055486,3.85808046094368,4.22612332341953,677.088774742086,916.317333640899,1067.55360808992,1243.65422899275,1613.27868464702,3235.6936417182,0.999791349100842
"Rec[12,1]",216.191571312872,86.3690384792656,1.36561440456602,1.63707703993099,84.9177404889778,154.257018471371,203.341890262546,264.978131029516,416.669354618477,3143.85917245491,1.00025776810064
"Rec[13,1]",1153.40174299349,259.909951337549,4.1095371638509,4.43747815269073,706.988809402666,969.818007943088,1129.63395451119,1311.76189750923,1713.34822715511,3160.43076036318,1.00059940293394
"Rec[14,1]",336.133794574304,106.148321020813,1.67835232114249,1.94159889547909,166.123517184148,259.209333194386,324.284064738861,400.071573642494,579.757284047708,2613.8258840163,0.999850859106305
"Rec[15,1]",266.364428802017,62.6089348912696,0.989934180667993,1.08866975247177,160.444420209601,222.209371709789,260.624522592076,304.028867423941,402.649929115122,3150.50193711684,0.999909216460873
"Rec[16,1]",409.713603410035,115.609800921508,1.82795145375299,2.18459315586514,222.420964909082,327.331457655604,396.374694657018,477.637469377875,670.393924182332,2932.49983455581,1.00055710119342
"Rec[17,1]",532.161627472935,164.769270239304,2.60523091179999,2.61744301055844,269.76152532581,416.911741365685,512.76355985492,628.639317182791,899.951306197099,3260.92925060095,0.999782593276501
"Rec[18,1]",452.641618544951,112.774853886514,1.78312700537038,1.88128228946859,271.334324148951,370.712317212522,440.065747864163,519.707952167129,704.666810954941,3409.74634458666,1.00048378414096
"Rec[19,1]",403.64284075104,112.084451355715,1.77221078287203,1.82360749619891,222.789838319145,325.454364032985,389.09913496452,470.06004944549,662.938114216452,3672.64616307034,0.99987070708537
"Rec[20,1]",333.823398417153,115.72744299682,1.82981153828626,2.04790967715439,150.62642929917,251.342692403807,318.402337241696,402.868562185001,591.893981396314,2920.56098919516,0.999784752964886
