"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_Rkr_a",1.34449275422662,0.262437168156698,0.00414949597029889,0.00534027456448392,0.885788945047712,1.15739812752464,1.33928943749385,1.51155352526244,1.88334346605785,2387.53140519694,0.999918135261735
"Rec[1,1]",574.133557301029,182.185488122687,2.88060549548622,2.82251031101428,296.972945447624,441.959960828354,545.981391528378,677.37804295751,992.626469707427,3817.42682729135,1.0003225445019
"Rec[2,1]",150.491044669327,123.988987056584,1.9604380193797,2.72016268437534,11.2014721162744,60.2326412177326,118.091075397834,203.201510091152,475.913973022941,1359.50894176557,1.00384739494561
"Rec[3,1]",315.702220023905,142.309202007665,2.25010605172615,2.50089742765946,105.157036172225,212.76647512327,294.353288665259,394.922012459801,645.606449782831,3070.07890414708,1.00057502478012
"Rec[4,1]",81.1449956902786,65.47354050942,1.03522757242534,1.37958122976855,5.52836367234692,33.539070927718,65.1331658430676,109.156824505466,252.851468482691,1753.51410528787,0.999890764343808
"Rec[5,1]",578.106795911214,157.325834153387,2.48753985355306,2.79168062474011,318.886868112672,466.5666386789,561.495868493387,669.787198814489,923.477321001484,3549.8040587201,1.00027051358002
"Rec[6,1]",279.987807609088,93.2836007428286,1.47494323344557,1.55616547492308,131.009569048766,214.106998354265,267.285900815568,334.931496538037,499.09296673333,3417.16919457562,1.00010525462521
"Rec[7,1]",500.185624378649,153.987642957429,2.43475841633131,2.51835152030857,256.342182754222,388.641804316301,481.649932696173,586.461441415982,858.876696343318,3699.01308480135,0.999804505333865
"Rec[8,1]",132.216735583847,64.364699883807,1.01769526273003,1.19737700172861,38.2793636243058,84.2942847852057,122.2272689586,168.371977658957,280.638064037771,2750.3877286242,1.00107598397756
"Rec[9,1]",534.932252717235,163.197917155943,2.58038563804125,2.69563221735847,274.159644032037,417.572642136437,515.456601323594,632.273815215067,895.908783736345,3377.70424920655,1.00055828379754
"Rec[10,1]",328.746569364805,109.169524901344,1.72612174883358,1.86114141008098,159.56898707164,250.740847387477,315.043537701123,389.733779709667,588.205882691657,3293.79348163605,0.999853149058937
"Rec[11,1]",1074.91153927384,248.382950626847,3.92727927966991,4.39182622074426,668.020109318458,892.964594767923,1052.34660165871,1224.20625995069,1628.16341341695,2971.59305499294,0.999888768994313
"Rec[12,1]",211.761298323546,84.7684657701204,1.340307127958,1.54996129799794,83.0689706920328,152.42455825419,199.94026203284,256.744177592048,410.344110940146,2897.73629905048,0.999785086019843
"Rec[13,1]",1179.4851128105,270.551925578697,4.27780155086525,5.09884109125416,723.880880002673,989.213882239554,1151.23582834967,1344.29955293921,1783.30019191153,2811.63055372061,1.00038966846887
"Rec[14,1]",335.916912830989,108.84150333199,1.72093527242947,2.16051505252435,165.940228449757,259.029214239408,319.626975679401,400.495806216263,581.173426948914,2335.18981511863,1.00019423500044
"Rec[15,1]",261.076416205063,60.9294610213912,0.963379367170227,1.15859556211073,158.278960846942,218.062060222457,256.248446722066,297.189219440506,396.791765098798,2816.7639793109,1.00102621361791
"Rec[16,1]",405.391757515136,114.303124276394,1.80729108193345,2.13476581526988,226.908168841053,321.747947079009,392.430368855413,469.991980903989,665.939326679106,3044.93789416549,0.999904269757466
"Rec[17,1]",525.808842637144,164.923659905067,2.607672026755,2.82613137880199,263.622198914595,409.925807015005,501.99702163169,623.563138879439,903.411955676453,3228.28482063173,1.00146486989045
"Rec[18,1]",459.819895536072,114.45561315772,1.80970214284766,1.93594645241907,273.50583500389,377.091298466766,448.349536814832,527.977316644183,716.152028328931,3500.365957909,0.999935304321423
"Rec[19,1]",401.651854607325,111.896373345358,1.76923700841942,1.94366582599335,223.698344478206,322.092022008313,389.327595531046,465.405214921251,656.04998261908,3428.50276109865,0.999811980801186
"Rec[20,1]",331.094914675705,114.693722468244,1.8134669816144,1.95888218626983,147.999172504471,248.636560734472,314.564629772168,397.255075233814,598.593368838925,3182.6579185277,0.999756674869924
"Rec[21,1]",234.963125877845,89.0522338275386,1.40803944810458,1.42996020662968,97.2655742725871,171.918361716865,221.386478696969,282.335232437406,433.850348259701,3783.72336091963,0.999755043490768
"Rec[22,1]",832.979464621877,208.712642199576,3.30003662911217,3.37572704950458,491.125298761798,683.305507983291,811.852623435492,962.773615095889,1293.51515466203,3707.74713225246,1.00088806091998
"Rec[23,1]",860.861197189111,206.61698551577,3.26690138753927,3.26506900999786,516.274099837071,715.254240105696,839.139520429267,985.631193095369,1326.49431456899,3578.06666124476,1.00007104325857
"Rec[24,1]",111.389090134209,73.1319073130014,1.15631698370704,1.28209572792777,17.0005803745508,58.9288008455875,96.452587365233,144.984828855684,297.987921802914,2994.68959161643,1.00039035763594
"Rec[25,1]",1089.19364543921,270.493415553302,4.27687642613424,4.27575459345424,666.514731485826,893.138042288709,1058.51267143143,1242.92674770062,1688.41588203407,4038.0324636963,0.99981627115505
"Rec[1,2]",3489.19637025193,844.024413624889,13.3451977392135,13.3455453051736,2119.96496948206,2889.39449539813,3410.55600866637,3968.25797477603,5442.80263924321,3802.62042560779,1.00003856474734
"Rec[2,2]",3419.59741719196,694.785803596699,10.9855281265799,11.1950914086824,2291.30481161335,2929.17635171758,3338.81156233869,3822.15751785566,5021.9094852637,4011.99517633166,1.00174887100207
"Rec[3,2]",2768.16592879298,609.503766345471,9.63710072051385,10.6942661225956,1767.99448644404,2326.54672886649,2716.09378323102,3125.23504319684,4149.60523260673,2906.73954702441,0.999780405423613
"Rec[4,2]",1947.11956840835,384.267652195342,6.07580506031341,6.63768768200073,1307.9869738201,1674.93974452093,1907.69231829762,2168.34066494051,2808.34300222854,3076.7713448344,0.99999530170175
"Rec[5,2]",4294.38858412742,804.019319640703,12.7126616642179,13.3003589762265,2962.33261977966,3715.85731814916,4226.5493730046,4775.36683683647,6095.28012365215,3386.80497377449,1.00097237536689
"Rec[6,2]",4326.1768309462,764.890638924894,12.0939828997206,12.4994078552622,3016.88804358618,3781.00305115454,4260.60971482573,4792.52182567069,6038.52925472669,3616.09286896319,1.00004639467936
"Rec[7,2]",2063.99454880239,408.883896781246,6.46502206196965,6.37215558758683,1382.79210610776,1776.51415644073,2022.94046219483,2316.9635485671,2982.7259796723,3828.0078537553,1.00044382305704
"Rec[8,2]",2267.9685154813,440.010120094701,6.95717086511739,7.22509266609598,1527.8497758711,1965.10241628516,2227.15264584424,2533.90195446237,3250.63485204792,3609.53825791814,0.999887465164654
"Rec[9,2]",4668.61539960016,815.260088566003,12.8903938264958,13.7296294370659,3267.05611868947,4078.78854040089,4611.91098317143,5171.39056425634,6480.19271209764,3466.41824796812,1.00024973871133
"Rec[10,2]",5174.58049989317,939.002371165397,14.8469311059074,16.4606958382474,3585.11435544253,4509.51878508502,5081.40152774896,5743.69470436351,7262.93219908174,3214.4872892392,1.00017189713497
"Rec[11,2]",6058.26304299905,1108.0116263771,17.5192020664956,19.8510423157749,4209.64958506282,5264.79881124926,5938.2230694223,6732.18688724201,8561.17333352638,2988.13384984624,0.999794197968279
"Rec[12,2]",2519.05694627022,494.087441652798,7.81220839454195,9.12449390973807,1671.82214945298,2169.20879774898,2477.29963841214,2814.73667700098,3610.16961470413,2844.97112331912,0.999785307039234
"Rec[13,2]",5341.7916820804,900.524920185718,14.238549187641,16.8557949924735,3766.88212057674,4700.16993016831,5280.65056063606,5907.29643205313,7232.28148907167,2742.63173653817,1.00022441065185
"Rec[14,2]",7303.06678295389,1175.32642399223,18.5835424699811,24.9951203280067,5209.4864433457,6500.26847693285,7209.94933057403,7997.05571030264,9859.54977611465,2212.56985111535,1.00017923998205
"Rec[15,2]",2183.81488746211,410.066582076179,6.48372195840552,7.7214321305369,1463.63676756262,1895.14143616171,2144.12027853195,2444.05953467413,3081.34204056857,2657.2417934055,1.00027682110012
"Rec[16,2]",3001.60982569517,585.607851444507,9.25927313121083,10.2949453285614,2017.0508157998,2587.45027611798,2945.98892356979,3352.26838183903,4268.54722976101,3183.88328660507,0.999938558800246
"Rec[17,2]",7573.69192984458,1267.26031752327,20.0371449586087,22.549836157165,5375.09684541101,6701.96135033403,7470.49656255749,8303.68434314598,10389.7330361291,3278.10987950267,1.00059747067758
