"","Mean","SD","Naive.SE","Time.series.SE","X2.5.","X25.","X50.","X75.","X97.5.","ESS","Rhat"
"E_Rkr_a",1.3263404350771,0.273710156688453,0.00432773756928541,0.00457729802268713,0.853454750420135,1.12907497320881,1.30827252168815,1.50384979747175,1.91403857801686,3277.07164439759,1.00028539019895
"Rec[1,1]",581.499192640937,187.013476305901,2.95694269136289,2.95481092657822,290.453143276902,446.849673892535,558.977009136029,684.526819439461,1023.82514978904,3562.02738007685,1.00072511024605
"Rec[2,1]",151.076699713448,124.780124925733,1.97294700742832,2.90745131101991,8.47103246167933,60.4272093267419,121.305158125692,207.02629551153,473.534796524525,1378.2651053482,1.00061962378047
"Rec[3,1]",313.418045303931,143.745296323229,2.27281269658615,2.37770642848149,104.485251987562,210.413181482349,288.509794626153,389.926190539905,670.890414719786,3160.08219997568,1.00055161661774
"Rec[4,1]",78.1433601654054,66.483150805843,1.05119091285461,1.48107022874958,3.75696849371753,28.9733989622434,61.0755766992652,108.946690218794,250.978820975475,1314.82098478999,1.00165950640986
"Rec[5,1]",574.268696523249,160.592489047566,2.53919020252977,2.77861238015134,318.228722629215,461.196969620147,555.947261245198,667.465511364887,942.286548850767,3106.58644226388,1.00059079543492
"Rec[6,1]",278.615060646557,92.6109625905502,1.46430789043393,1.5827005316353,129.990584913146,211.166205623654,265.688039277392,330.994728026586,495.829155944443,3298.45223640616,1.00005672053286
"Rec[7,1]",509.48548782008,157.274732854595,2.48673187107518,2.62730375673916,264.718595470621,395.903209776199,488.298936770537,598.092911660107,879.994558050107,3524.64463687309,1.00131141964192
"Rec[8,1]",134.157227861731,67.4005519371132,1.06569629836876,1.31608996605709,37.8926296225717,85.6003075642987,122.122546203927,171.116979535061,292.626692362309,2461.68691731503,1.00037393448207
"Rec[9,1]",556.882478937611,171.581679963399,2.71294456721209,2.94315750624101,281.636002955977,434.465617127748,532.774954057555,655.534215657819,939.14272198022,3425.17143132898,1.00023454560602
"Rec[10,1]",333.622357249353,110.518159257941,1.74744553032159,1.9121231008433,158.433013559237,252.04882264811,319.489716087767,399.352919403382,582.675335008654,2816.55062919186,1.00030018967784
"Rec[11,1]",1103.43111523956,265.837152070727,4.20325443618022,4.8934045044622,661.430815143694,914.418847398985,1074.7599360972,1263.41617747547,1695.04842748679,2750.33478027603,1.00063853341429
"Rec[12,1]",217.313432657168,85.9877498840203,1.35958570253192,1.58565974138617,82.7532894715924,154.668336111176,206.151906663007,267.020050937418,416.990732171526,2848.86460664305,1.00093536750418
"Rec[13,1]",1203.12792217152,291.920810844837,4.61567329336434,5.35975114993023,731.140668316808,997.7773587133,1166.5452999,1370.73635084166,1873.00986990495,2782.10327757693,1.0025562673108
"Rec[14,1]",336.550738464332,107.150866759943,1.69420396111323,2.28454195564337,165.781266948283,259.478937982081,322.525336678866,399.881550990627,581.361261775822,2625.91878613085,1.00060106103547
"Rec[15,1]",255.110564978549,60.5641488981564,0.957603275338757,1.05404887555484,154.140669814258,212.994067371546,249.230729292546,291.493474322854,384.44117040739,3066.96032201655,0.999819427732133
"Rec[16,1]",382.940351241189,107.410427399531,1.69830797517336,1.89088320548062,208.850369578022,308.269628309717,369.577271176052,445.887589145707,627.350322210236,3316.23018999935,0.999855213885554
"Rec[17,1]",498.939398556792,158.267526911498,2.50242932341164,2.81831733243024,250.028956023691,385.94401871653,477.141405471424,589.391268558143,867.218966421004,2803.55135889742,1.00042079669947
"Rec[18,1]",437.74976232976,112.674209875059,1.78153568382511,1.85182198199992,256.69722194728,359.58030030255,424.283878378124,501.978861259494,693.635653230706,3580.93929557421,0.999798537976791
"Rec[19,1]",392.731081805479,111.390079875228,1.76123180576902,1.86401976747237,210.361829128971,315.79498561796,379.782149025905,458.880464793629,649.465374159371,3022.80336858733,1.00138741399934
"Rec[20,1]",326.192811160002,112.559475167024,1.77972156880479,1.98422153338298,146.250492041796,246.718661849123,311.891694894233,392.904852538875,587.40818829042,3153.54674430966,1.00117727107636
"Rec[21,1]",235.865724652499,89.2935699622207,1.41185530744106,1.51844165326459,99.430873787054,173.266976542402,222.842791483237,283.248921695588,442.822696133449,3316.89272730545,0.999759978092214
"Rec[22,1]",844.308671847218,216.304838527332,3.42007979330655,3.59624387863846,484.151424545138,687.430881359475,819.009344316726,973.037012909311,1325.80637323382,3673.36122358017,1.00042532783348
"Rec[23,1]",886.365803112037,220.493774812523,3.48631269147919,3.68360242882201,526.543710381179,728.667405527931,864.295508588391,1017.01093079117,1370.41008140624,3629.02794333486,1.00048942789682
"Rec[24,1]",115.120954557894,74.6331918877095,1.18005437706782,1.29405391034487,18.491243066304,59.460196511076,99.1130915975068,153.689778359358,301.658096332733,3033.68395987017,0.99980327564827
"Rec[25,1]",1122.88861004369,287.841362829177,4.55117155673563,4.51209779228453,652.19630170121,912.76533902722,1089.45747857325,1290.7498198017,1786.96439627567,3860.5688353946,0.999786609137492
"Rec[1,2]",3499.68889379027,877.00860744516,13.8667236354961,14.2117749539583,2069.31320717136,2869.81407249432,3415.57254235805,4024.61768116419,5445.40368203964,3831.27566930208,0.999827132612708
"Rec[2,2]",3426.45626514652,695.541946715563,10.9974837990432,11.3981637339931,2261.33444273324,2938.3958927336,3367.14169422418,3843.63282748183,4959.2699301642,3904.29349746214,0.999946031260169
"Rec[3,2]",2722.76752469472,627.739471915702,9.92543254222459,10.3976765085929,1718.19212240941,2282.80506599839,2642.52318466381,3088.03935362934,4175.8337410362,3373.27086624184,0.999930781894196
"Rec[4,2]",1941.82980160159,387.36783086892,6.12482318912334,6.45141366035312,1297.35261635228,1667.2232285767,1898.51328367167,2177.01791543577,2804.59938135113,3510.09522259593,0.999817635349747
"Rec[5,2]",4264.64767588325,835.978704890032,13.2179839142512,15.0158750076159,2847.07619416093,3679.96844456228,4180.85913119226,4754.48020412164,6161.58035201542,3521.09448703943,1.00045082703361
"Rec[6,2]",4392.85120119073,812.585609489777,12.8481065993191,13.4212745216204,3004.09696948984,3814.77542053369,4321.10689970581,4884.1778449493,6171.59937688531,3665.52819705468,1.000209946791
"Rec[7,2]",2108.99109402854,427.82317986798,6.76447842099355,6.90476936224223,1386.98709363121,1809.74199186601,2077.13263436451,2365.0573629783,3047.11201049286,3680.38223084033,1.00070535850241
