"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",0.999,0.997,1,0.99225,0.9545,0.99,0.996,0.98325,0.98525,1,0.9465,0.8615,0.91575,0.99825,1,0.9205,1,1,1,1,0.9935,0.9985,0.99025,0.99925,0.999,0.99375,1,1,0.9845,0.99875,0.9975,0.999,0.99975,0.9895,0.992,1,0.9975,0.992,1,1,0.994,1,1,0.99875,0.94575,0.99975,0.99975,0.928,0.993,0.99925,0.897,0.9855,0.97725,0.97925,0.995,0.99975,0.9795,0.97975,0.99575,0.97375,0.9955,0.949,0.99325,1,0.99975,1,0.99875,1,0.9985,0.94975,1,0.99975,0.9965,0.99975,0.998,0.996,0.9975,0.8885,0.99925,0.9815,0.97825,1,0.99,0.99875,0.99825,0.99625,1,0.99775,0.9525,0.9975,0.9995,1,0.921,1,0.91525,1,0.9935,0.999,0.96125,1,0.995
"2",0.99875,0.9975,1,0.98725,0.94975,0.985,0.998,0.98,0.9785,0.99975,0.95675,0.871,0.91575,0.99825,0.99975,0.91375,1,1,1,1,0.99275,0.99775,0.99375,0.99825,0.99925,0.99025,1,1,0.9845,0.999,0.998,0.9995,0.99975,0.98825,0.99225,1,0.99825,0.99025,0.99975,1,0.9965,1,0.99975,0.99875,0.938,0.99925,0.99975,0.922,0.99325,0.99875,0.89825,0.98,0.98025,0.98,0.99375,0.999,0.9825,0.977,0.997,0.97475,0.99525,0.95375,0.99525,1,1,1,0.99875,1,0.998,0.95675,1,0.99975,0.99375,0.99925,0.99625,0.99775,0.997,0.8885,0.9995,0.98325,0.97375,1,0.986,0.999,0.99925,0.9965,1,0.99725,0.9585,0.99925,0.9995,1,0.938,1,0.9205,1,0.99325,0.9985,0.96225,0.99975,0.99475
"3",0.9985,0.9965,1,0.992,0.94725,0.988,0.99625,0.98,0.9845,0.9995,0.94425,0.86675,0.91425,0.99825,0.99975,0.9095,1,1,1,1,0.9875,0.99825,0.9935,0.999,0.99925,0.993,0.9995,0.99975,0.98675,1,0.998,0.99925,0.99975,0.98775,0.993,1,0.99775,0.99,1,1,0.997,1,0.9995,0.9985,0.94825,0.99975,0.99975,0.913,0.9925,0.9985,0.9055,0.983,0.98125,0.97975,0.99625,0.99925,0.97975,0.97675,0.996,0.96475,0.99275,0.94675,0.9945,0.99975,1,1,0.998,1,0.998,0.946,1,0.99975,0.99775,0.999,0.996,0.99625,0.99675,0.8925,0.99975,0.97575,0.97425,1,0.9885,0.9975,0.999,0.99625,1,0.99875,0.95075,0.998,1,1,0.9355,1,0.92525,0.99975,0.99325,0.99975,0.964,0.99975,0.99525
"4",0.9985,0.99525,1,0.9925,0.9465,0.987,0.997,0.98075,0.98275,0.99975,0.9515,0.86625,0.91525,0.99825,1,0.90425,0.99975,1,1,1,0.99125,0.99875,0.993,0.99875,0.9995,0.993,1,1,0.99125,0.99875,0.999,0.99925,1,0.9915,0.995,1,0.99875,0.991,0.9995,0.99975,0.99725,1,1,0.99775,0.9445,0.99975,0.99975,0.92275,0.99225,0.9975,0.8975,0.98175,0.9825,0.981,0.9945,0.9995,0.98125,0.97675,0.99525,0.97275,0.99575,0.94925,0.99375,1,1,1,0.9975,1,0.9985,0.955,1,0.99975,0.9965,1,0.99725,0.998,0.99575,0.88575,0.99875,0.9805,0.9745,0.99975,0.98625,0.999,0.9985,0.99725,1,0.9975,0.95075,0.99775,0.99975,1,0.931,1,0.9315,0.99975,0.9895,0.99875,0.96,0.99925,0.997
"5",0.999,0.99525,1,0.99175,0.9455,0.9875,0.997,0.9795,0.9785,1,0.94225,0.87,0.9225,0.99775,1,0.9025,0.9995,1,1,1,0.99225,0.999,0.9945,0.9995,0.99875,0.993,0.9995,1,0.9885,0.99925,0.99875,0.99875,0.9995,0.9875,0.98725,1,0.9985,0.9915,0.99975,1,0.994,1,0.99975,0.99925,0.94075,0.9995,0.9995,0.9205,0.99225,0.9985,0.9025,0.98475,0.97875,0.98125,0.9935,0.99925,0.98125,0.97725,0.99625,0.97425,0.9935,0.94525,0.997,0.99975,1,1,0.9985,1,0.99825,0.9575,1,0.99975,0.9955,0.99925,0.998,0.99625,0.99775,0.89275,0.9985,0.98275,0.9725,1,0.986,0.99825,0.99775,0.9955,1,0.99825,0.95325,0.999,0.99875,1,0.9235,1,0.924,0.99975,0.99025,0.99975,0.96275,1,0.99775
"6",0.998,0.995,1,0.9925,0.95,0.9875,0.99675,0.978,0.98075,1,0.9415,0.86725,0.9195,0.9975,0.99975,0.90025,1,1,1,1,0.991,0.9995,0.99025,0.99825,0.999,0.992,1,0.99975,0.986,0.998,0.9985,0.99925,1,0.98625,0.9895,1,0.998,0.9885,1,0.99975,0.99625,0.99975,1,0.9985,0.941,1,0.99925,0.918,0.99225,0.997,0.9005,0.9815,0.97925,0.98125,0.99275,0.99925,0.9795,0.9725,0.99725,0.97525,0.99425,0.9545,0.99425,0.99975,0.99925,1,0.9975,1,0.99975,0.95,1,0.99975,0.9965,0.9995,0.997,0.997,0.9965,0.89275,0.9995,0.984,0.9775,1,0.98625,0.997,0.998,0.99575,1,0.9975,0.96,0.99925,0.99875,1,0.92425,1,0.932,1,0.99325,0.9995,0.9655,0.99975,0.998
"7",0.998,0.997,1,0.98925,0.94525,0.98725,0.9965,0.975,0.977,1,0.955,0.8835,0.92075,0.99775,0.99975,0.8855,1,1,1,1,0.989,0.999,0.99325,0.999,0.99875,0.993,0.99975,1,0.988,0.99925,0.99825,0.9995,0.99975,0.98875,0.99275,1,0.998,0.98875,0.99925,0.99925,0.99525,0.99975,0.9995,0.99875,0.9285,0.99925,0.99975,0.9095,0.99025,0.9975,0.905,0.982,0.9715,0.981,0.9905,0.9995,0.97975,0.97775,0.99725,0.97875,0.99425,0.95125,0.994,1,1,1,0.9985,1,0.99625,0.94875,1,0.99975,0.996,0.99975,0.99725,0.99775,0.99575,0.8955,0.99975,0.97775,0.97575,1,0.9915,0.99825,0.997,0.99575,1,0.9985,0.9575,0.998,0.999,1,0.92475,1,0.924,0.99975,0.99,0.99925,0.95975,0.99975,0.9965
"8",0.99775,0.99475,1,0.98975,0.94325,0.987,0.99675,0.97925,0.981,0.99975,0.951,0.8795,0.91475,0.99825,0.99975,0.901,1,1,1,0.99975,0.99225,0.99925,0.98575,0.99925,0.9985,0.99225,1,1,0.986,0.99875,0.9965,0.99975,1,0.98825,0.99175,1,0.99775,0.9885,0.9995,0.99975,0.994,0.9995,0.99975,0.998,0.92725,0.9995,0.99975,0.9075,0.9885,0.99825,0.912,0.97775,0.9735,0.983,0.9915,0.99925,0.9815,0.97175,0.9945,0.969,0.996,0.953,0.994,0.99975,1,1,0.998,0.99975,0.9975,0.957,1,1,0.9965,0.999,0.99725,0.9955,0.998,0.89725,0.99925,0.98525,0.977,1,0.98825,0.999,0.9975,0.997,1,0.99725,0.955,0.999,0.99925,1,0.92575,1,0.92475,1,0.9885,0.99975,0.962,0.99925,0.9955
"9",0.99875,0.99425,1,0.99225,0.945,0.98825,0.99725,0.978,0.97375,0.99975,0.93775,0.8775,0.91125,0.997,0.99975,0.8875,0.9995,1,1,1,0.99075,0.9985,0.99025,0.9995,0.99875,0.9915,0.99975,1,0.98875,0.999,0.99525,0.9995,0.99975,0.9855,0.99075,1,0.99725,0.98525,1,1,0.99525,0.99975,0.99975,0.99775,0.935,0.999,0.99975,0.91575,0.99025,0.999,0.899,0.98325,0.976,0.98025,0.9895,0.99825,0.98125,0.96925,0.99675,0.974,0.98975,0.95425,0.996,0.99975,0.99975,1,0.99925,1,0.99825,0.95725,1,0.99975,0.997,0.99875,0.997,0.9985,0.997,0.893,0.9995,0.98175,0.975,1,0.988,0.99775,0.9975,0.99525,1,0.998,0.9535,0.998,0.9995,1,0.9065,1,0.93125,0.99975,0.99575,0.998,0.955,0.999,0.99725
"10",0.99875,0.995,1,0.989,0.9435,0.98475,0.99575,0.979,0.97675,1,0.9475,0.86725,0.91325,0.99825,0.99975,0.89825,1,1,1,1,0.9915,0.99875,0.9875,0.9985,0.999,0.99475,0.9995,1,0.988,0.99925,0.99675,0.99975,0.9995,0.98625,0.993,1,0.9975,0.99175,0.99975,1,0.99525,0.9995,0.99975,0.99875,0.9305,1,0.99925,0.91225,0.9925,0.99725,0.917,0.97825,0.9765,0.97875,0.99225,0.9975,0.97575,0.97,0.99475,0.9695,0.99075,0.953,0.9925,1,1,1,0.997,1,0.998,0.95675,1,1,0.99525,0.99875,0.9975,0.9955,0.9955,0.8955,1,0.979,0.97225,1,0.988,0.9985,0.99725,0.9935,1,0.9985,0.9515,0.9975,0.999,1,0.91925,1,0.93675,0.9995,0.99125,0.99925,0.96175,0.999,0.99775
