"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",0.99975,1,1,1,0.8475,0.981,0.9955,0.9995,0.98375,0.99875,0.9995,0.98775,0.966,1,0.994,0.9785,1,0.998,0.99925,0.9975,1,0.99925,0.9905,0.976,0.95675,0.9675,0.99425,0.996,0.91975,0.99825,0.94725,1,0.99625,0.96875,0.99675,0.9945,0.971,1,0.99825,1,0.99975,1,0.997,0.9995,1,0.9885,1,0.998,0.9995,0.9595,0.9995,0.97325,0.9965,0.96425,0.997,0.99375,0.99675,0.99775,0.962,0.985,1,0.999,1,0.9955,0.99925,1,0.94975,0.999,0.9965,0.91525,1,0.991,0.8985,0.99,1,1,1,1,0.9995,1,0.99925,0.982,1,0.99325,0.99275,1,0.93975,0.95375,0.99425,0.99725,0.983,0.99875,0.923,1,0.9995,0.9995,0.9975,1,1,0.9935,0.98025
"2",0.9965,1,1,1,0.845,0.979,0.9965,0.99875,0.975,0.99625,0.999,0.987,0.96625,1,0.993,0.97675,1,0.99775,0.99975,0.997,1,0.99875,0.99575,0.977,0.95575,0.9645,0.99475,0.99525,0.92425,0.998,0.9555,1,0.997,0.9695,0.99775,0.99525,0.97475,1,0.9975,1,0.99975,1,0.9965,0.9995,1,0.988,1,0.9995,0.99975,0.96725,0.99975,0.97,0.99725,0.96525,0.99675,0.9925,0.9945,0.999,0.9625,0.9875,0.9995,0.999,1,0.99775,0.9995,1,0.952,0.9985,0.9955,0.9235,1,0.9925,0.904,0.9845,0.9995,0.99975,1,1,0.9995,1,0.999,0.983,1,0.99475,0.9955,0.99925,0.94075,0.957,0.9965,0.99875,0.9845,0.99725,0.9415,1,0.99975,1,0.998,1,1,0.9945,0.98025
"3",0.99725,0.99975,1,1,0.849,0.98375,0.994,0.99875,0.981,0.9975,0.99975,0.991,0.9675,1,0.99,0.976,1,0.9995,0.99975,0.9985,1,0.9995,0.9945,0.97825,0.96125,0.967,0.995,0.99475,0.924,0.999,0.9555,1,0.9975,0.9715,0.99675,0.996,0.97525,1,0.999,1,1,1,0.997,0.999,1,0.9875,1,0.9995,0.9995,0.95625,0.99975,0.97225,0.999,0.96375,0.99775,0.9915,0.9955,0.9985,0.9545,0.9805,0.99925,0.9985,1,0.99575,0.99975,1,0.94525,0.99975,0.997,0.908,1,0.99425,0.91225,0.98475,0.99925,1,1,1,0.99975,1,0.99925,0.984,1,0.99175,0.995,0.9995,0.9395,0.95675,0.9975,0.99825,0.98,0.9985,0.94225,1,0.99925,0.99975,0.99775,1,1,0.993,0.9805
"4",0.99775,0.99975,1,1,0.84575,0.986,0.99675,0.99875,0.98,0.99725,0.99975,0.9875,0.9655,1,0.99475,0.97525,1,0.99875,0.9995,0.9975,1,0.9995,0.9955,0.97875,0.9595,0.9715,0.9935,0.9945,0.93175,0.99825,0.96125,1,0.997,0.9745,0.9985,0.99425,0.9745,1,0.9985,1,1,0.99975,0.99675,0.998,1,0.991,1,0.99825,0.99975,0.96075,0.99975,0.971,0.99825,0.96925,0.997,0.99475,0.99775,0.99775,0.961,0.98575,0.9995,0.9995,1,0.99575,0.99975,1,0.9565,0.99975,0.9965,0.92875,1,0.99275,0.90175,0.98725,0.99975,1,1,1,0.99875,1,0.9985,0.97925,1,0.994,0.9945,1,0.9425,0.95625,0.994,0.998,0.9845,0.99825,0.93825,1,0.99925,0.9995,0.9965,1,0.99975,0.9945,0.9805
"5",0.99775,1,1,1,0.84075,0.985,0.99675,0.9985,0.97575,0.9985,0.999,0.992,0.974,1,0.99575,0.97425,1,0.99975,0.9995,0.9955,1,0.9995,0.9965,0.97675,0.95875,0.9735,0.994,0.99575,0.92425,0.99875,0.95525,1,0.996,0.9765,0.9975,0.99525,0.97425,1,0.99775,1,1,1,0.99675,0.99975,1,0.98675,1,0.99875,0.99975,0.9595,1,0.97525,0.99875,0.96725,0.996,0.994,0.99475,0.996,0.96575,0.9875,0.999,0.998,1,0.99525,1,1,0.95425,0.99975,0.996,0.93,1,0.99475,0.90325,0.9805,0.9995,0.99975,1,1,0.9985,1,0.9995,0.97775,1,0.99475,0.9935,0.99975,0.94525,0.95975,0.99475,0.99925,0.98325,0.99825,0.92875,0.99975,0.99925,0.99975,0.9965,1,0.99975,0.99425,0.97775
"6",0.99675,1,1,1,0.854,0.98725,0.99475,0.9985,0.9765,0.99875,0.9985,0.99075,0.9735,1,0.99325,0.9775,1,0.99825,0.9985,0.9975,1,0.99975,0.99425,0.98275,0.96325,0.9695,0.99225,0.99575,0.92525,0.9965,0.95375,1,0.99625,0.973,0.9965,0.99625,0.968,0.9995,0.99775,1,1,0.99975,0.9965,0.999,1,0.99025,1,0.9995,0.99975,0.9675,0.999,0.971,0.997,0.96775,0.9965,0.9925,0.997,0.99675,0.96725,0.9875,0.99975,0.99875,0.99975,0.99575,0.9985,1,0.9505,0.99975,0.99775,0.92275,1,0.996,0.91575,0.98275,0.9995,0.99975,1,1,0.99975,1,0.99875,0.98125,1,0.991,0.9955,0.99925,0.9475,0.9515,0.99625,0.999,0.98225,0.998,0.933,0.99975,0.999,1,0.999,1,1,0.996,0.97975
"7",0.9965,1,1,1,0.82875,0.98475,0.995,0.999,0.9735,0.99775,0.99875,0.99125,0.9705,1,0.9955,0.974,1,0.99875,0.9995,0.9985,1,0.99975,0.99675,0.98075,0.96775,0.9715,0.993,0.9955,0.936,0.999,0.9575,1,0.99725,0.9745,0.998,0.994,0.9775,0.9995,0.9975,1,0.99975,1,0.99575,0.99825,1,0.99,1,0.99925,0.9985,0.95775,0.99975,0.97075,0.99675,0.9675,0.9945,0.99625,0.99375,0.99825,0.96125,0.9905,0.99975,0.99975,1,0.9965,0.99975,1,0.958,0.9995,0.99325,0.91925,1,0.9935,0.9165,0.988,0.99925,1,1,0.99975,0.99975,1,0.9995,0.97675,1,0.9955,0.99425,0.9995,0.94625,0.957,0.99625,0.99925,0.98375,0.9975,0.93725,1,0.99975,0.99975,0.9975,1,1,0.99325,0.97875
"8",0.99675,0.99975,1,1,0.845,0.984,0.99675,0.999,0.977,0.99625,0.99975,0.98925,0.976,1,0.99225,0.977,1,0.9975,1,0.998,1,1,0.9915,0.9815,0.96025,0.97225,0.9935,0.99575,0.92775,0.99775,0.9575,1,0.9955,0.97825,0.997,0.99425,0.97375,1,0.998,1,1,0.9995,0.997,0.99825,1,0.98625,1,0.99875,0.99875,0.95875,1,0.96675,0.9955,0.9715,0.9945,0.99625,0.996,0.9975,0.9585,0.986,0.9995,1,1,0.9935,0.99975,0.99975,0.956,0.99925,0.995,0.92875,1,0.993,0.918,0.985,0.99975,1,1,1,0.99925,1,0.99975,0.98125,1,0.99425,0.994,1,0.943,0.958,0.9955,0.999,0.98325,0.9975,0.94525,0.99975,0.99975,1,0.99775,1,1,0.9955,0.9755
"9",0.9985,1,1,1,0.8565,0.9875,0.9965,0.999,0.971,0.99825,0.999,0.993,0.9675,0.99975,0.99475,0.97525,1,0.99875,1,0.998,1,0.99975,0.99325,0.985,0.964,0.974,0.9945,0.995,0.931,0.998,0.957,1,0.997,0.97775,0.99825,0.99675,0.97575,1,0.99875,1,1,1,0.997,0.999,1,0.98925,1,0.9985,0.99925,0.95625,0.99975,0.9695,0.99625,0.969,0.9945,0.99175,0.99725,0.99725,0.95875,0.986,0.99925,0.99825,1,0.99575,0.99875,1,0.95075,1,0.99625,0.932,1,0.995,0.9215,0.98825,0.999,1,1,0.99975,0.9995,1,0.9985,0.97525,1,0.9925,0.995,0.9995,0.94725,0.9565,0.995,0.99775,0.984,0.9965,0.93225,1,0.99925,0.99975,0.99875,1,1,0.98975,0.97725
"10",0.998,1,1,1,0.84375,0.98225,0.996,0.9985,0.97125,0.9985,0.99925,0.99,0.96925,1,0.99425,0.9775,1,0.99775,0.99975,0.9985,1,1,0.9935,0.981,0.9645,0.97175,0.9935,0.99425,0.9395,0.9975,0.96275,1,0.9955,0.9775,0.99775,0.9955,0.972,1,0.99725,1,1,1,0.99625,0.9995,1,0.984,1,0.99875,0.99925,0.96075,0.99925,0.96625,0.998,0.96675,0.9955,0.9925,0.9965,0.99675,0.9615,0.98475,0.9995,0.9985,1,0.994,1,1,0.94725,0.999,0.9965,0.93125,1,0.99475,0.9165,0.98475,0.99975,1,0.99975,1,1,1,0.99725,0.98,1,0.99425,0.99325,0.99925,0.944,0.95775,0.99725,0.99825,0.9845,0.997,0.93725,1,1,0.9995,0.99725,1,0.99975,0.9925,0.97925
